image_id,box_id
MHR.7889.jpg,62
MHR.7889.jpg,66
MHR.7889.jpg,68
MHR.7889.jpg,69
MHR.7889.jpg,70
MHR.7889.jpg,72
MHR.7889.jpg,74
MHR.7898.jpg,4
MHR.7898.jpg,6
MHR.7898.jpg,7
MHR.7898.jpg,8
MHR.7898.jpg,11
MHR.7898.jpg,13
MHR.7898.jpg,14
MHR.7898.jpg,15
MHR.7898.jpg,16
MHR.7898.jpg,17
MHR.7898.jpg,18
MHR.7898.jpg,19
MHR.7898.jpg,20
MHR.7898.jpg,21
MHR.7898.jpg,23
MHR.7898.jpg,24
MHR.7898.jpg,26
MHR.7898.jpg,27
MHR.7898.jpg,29
MHR.7898.jpg,30
MHR.7898.jpg,33
MHR.7898.jpg,34
MHR.7898.jpg,35
MHR.7898.jpg,36
MHR.7898.jpg,49
MHR.7898.jpg,52
MHR.7898.jpg,53
MHR.7898.jpg,54
MHR.7898.jpg,55
MHR.7898.jpg,57
MHR.7898.jpg,59
MHR.7898.jpg,60
MHR.7930.jpg,15
MHR.7930.jpg,39
MHR.7930.jpg,42
MHR.7930.jpg,12
MHR.7930.jpg,28
MHR.7930.jpg,40
MHR.7930.jpg,31
MHR.7930.jpg,46
MHR.7930.jpg,37
MHR.7930.jpg,35
MHR.7930.jpg,33
MHR.7930.jpg,32
MHR.7930.jpg,43
MHR.7930.jpg,53
MHR.7930.jpg,41
MHR.7930.jpg,34
MHR.7930.jpg,37
MHR.7930.jpg,35
MHR.7930.jpg,52
MHR.7930.jpg,38
MHR.7930.jpg,18
MHR.7930.jpg,48
MHR.7930.jpg,22
MHR.7930.jpg,19
MHR.7930.jpg,20
MHR.7930.jpg,21
MHR.7930.jpg,36
MHR.7930.jpg,57
MHR.7930.jpg,16
MHR.7931.jpg,2
MHR.7931.jpg,3
MHR.7931.jpg,6
MHR.7931.jpg,8
MHR.7931.jpg,10
MHR.7931.jpg,11
MHR.7931.jpg,12
MHR.7931.jpg,15
MHR.7931.jpg,17
MHR.7931.jpg,18
MHR.7931.jpg,19
MHR.7931.jpg,20
MHR.7931.jpg,21
MHR.7931.jpg,22
MHR.7931.jpg,31
MHR.7931.jpg,32
MHR.7931.jpg,33
MHR.7931.jpg,35
MHR.7931.jpg,36
MHR.7931.jpg,37
MHR.7931.jpg,38
MHR.7931.jpg,39
MHR.7931.jpg,41
MHR.7931.jpg,42
MHR.7931.jpg,43
MHR.7931.jpg,44
MHR.7931.jpg,45
MHR.7931.jpg,47
MHR.7931.jpg,53
MHR.7931.jpg,55
MHR.7931.jpg,56
MHR.7931.jpg,62
MHR.7931.jpg,63
MHR.7931.jpg,64
MHR.7962.jpg,20
MHR.7962.jpg,39
MHR.7962.jpg,21
MHR.7962.jpg,67
MHR.7962.jpg,69
MHR.7962.jpg,53
MHR.7962.jpg,29
MHR.7962.jpg,17
MHR.7962.jpg,40
MHR.7962.jpg,47
MHR.7962.jpg,28
MHR.7962.jpg,65
MHR.7962.jpg,18
MHR.7962.jpg,45
MHR.7962.jpg,64
MHR.7962.jpg,30
MHR.7962.jpg,59
MHR.7962.jpg,43
MHR.7962.jpg,41
MHR.7962.jpg,42
MHR.7962.jpg,66
MHR.7962.jpg,31
MHR.7962.jpg,25
MHR.7962.jpg,36
MHR.7962.jpg,24
MHR.7962.jpg,26
MHR.7962.jpg,38
MHR.7962.jpg,48
MHR.7962.jpg,27
MHR.7962.jpg,34
MHR.8019.jpg,17
MHR.8019.jpg,18
MHR.8019.jpg,15
MHR.8019.jpg,52
MHR.8019.jpg,31
MHR.8019.jpg,56
MHR.8019.jpg,50
MHR.8019.jpg,55
MHR.8019.jpg,16
MHR.8019.jpg,25
MHR.8019.jpg,39
MHR.8019.jpg,58
MHR.8020.jpg,8
MHR.8020.jpg,30
MHR.8020.jpg,28
MHR.8020.jpg,29
MHR.8020.jpg,32
MHR.8020.jpg,56
